model,erc_type,learning_rate,epochs,batch_size,avg_iterations_erc1155_none,avg_time_erc1155_none,verification_rate_erc1155_none,overall_verification_rate,overall_avg_time,overall_avg_iterations
4o-mini,base,0.0,0,0,32.1,765.9586936473846,0.0,0.0,765.9586936473846,32.1
erc-1155-001-5-16,erc1155,0.001,5,16,11.2,284.1184440612793,0.6,0.6,284.1184440612793,11.2
erc-20-001-5-16,erc20,0.001,5,16,15.9,271.11738629341124,0.2,0.2,271.11738629341124,15.9
erc-20-1155-001-5-16,erc20,0.1155,1,5,12.2,396.76595027446746,0.7,0.7,396.76595027446746,12.2
erc-20-721-001-5-16,erc20,0.721,1,5,16.3,257.305574464798,0.4,0.4,257.305574464798,16.3
erc-20-721-1155-001-5-16,erc20,0.721,1155,1,11.1,291.7939572095871,0.8,0.8,291.7939572095871,11.1
erc-721-001-5-16,erc721,0.001,5,16,14.9,273.50713577270506,0.1,0.1,273.50713577270506,14.9
erc-721-1155-001-5-16,erc721,0.1155,1,5,12.5,198.5561486005783,0.6,0.6,198.5561486005783,12.5
